Nom,Prochaine disponibilité,Type de consultation,Secteur,Prix,Adresse,Code postal,Ville
Dr ANNE SOPHIE LASCAUX-CAMETZ,25 juil.,,Conventionné secteur 2,,75 Rue du Javelot,75013,PARIS
Dr Mihaela-Cristina BUHAS,25 juil.,,Conventionné secteur 1 avec droit permanent à dépassement,,114 Boulevard Voltaire,75011,Paris
Dr Olivier GAUDIN,,,Conventionné secteur 2,,34 Rue de Turin,75008,Paris
Dr Hélène Friess,,,,,29 Rue de Sèvres,75006,Paris
Dr Caroline DUMORTIER,,,Conventionné secteur 2,,68 Rue Saint-Didier,75116,Paris
Dr Nicole AUFFRET,,,Conventionné secteur 2,,21 Rue Tronchet,75008,Paris
Dr Alina-Sinziana DUTU,,,Conventionné secteur 1 avec droit permanent à dépassement,,18 Rue de la Glacière,75013,Paris
Dr Didier HERSHKOVITCH,,,Conventionné secteur 1,,9 Rue du Bouloi,75001,Paris
Dr Amélie Gantzer,,,Conventionné secteur 2,,4 Rue Turgot,75009,Paris
Pr Nadem SOUFIR,,,Conventionné secteur 2,,19 Rue Ampère,75017,Paris
